year,month,age,country,holiday17,screen,company,genre,director,star1,star2,star3,totalstar,day0a,day0s,day0r,pregrade,preparti,audience17
2000,10,12,1,0,6,550,198,1,1,1,1,3,1305518,0,0,0,0,1305518
2015,5,19,1,5,674,897,3391,1160589,746939.2,800615.5714,2109785.75,3657340.521,8947,34,40,8.31,578,998055
2014,12,19,3,6,32,27,919,23430.66667,1,1,1,3,1106,8,8,8.18,66,6577
2016,3,12,2,5,485,73,1672,1047062,760137.8,34949.66667,3871495,4666582.467,2930,14,14,8.21,129,873041
2015,2,15,3,8,24,27,79,1,1,1,1,3,915,8,8,9.2,84,5077
2015,1,19,1,4,684,550,871,2397158.333,2482640,892928.6667,2917937.154,6293505.821,10822,47,48,9.3,1324,1966288
2015,11,0,3,5,121,51,412,1,1,1,1,3,327,3,3,9.17,66,46017
2014,12,0,1,5,205,143,204,72054.42857,2979751,2711094,631359.5,6322204.5,15910,83,83,9.27,467,224113
2015,9,15,2,6,262,678,78,1,1,1,1,3,1476,6,6,8.93,332,88777
2000,8,15,2,0,1,93,198,61902,469537.5385,1057301.222,1,1526839.761,14426,0,0,0,0,14489
2014,11,12,1,5,77,15,204,157.6,1,1,1,3,2090,13,13,0,0,20667
2015,10,19,1,5,26,29,204,112,1,1,1,3,271,3,3,8.59,37,5024
2000,2,12,1,5,1,897,86,248291,1296922.778,1,597684.2,1894607.978,4111497,0,0,0,0,4112233
2000,8,0,3,7,1,70,204,6558,11123.5,1,1,11125.5,17611,0,0,0,0,18252
2016,2,15,1,7,1268,550,919,1,3309616.389,3132872,1264777.75,7707266.139,13008,47,48,8.99,748,8695732
2015,11,15,1,5,834,1157,769,138,3696678.867,3132872,2607092.75,9436643.617,7584,38,39,8.47,523,4275413
2015,4,19,1,5,178,99,78,74615,712991.6667,1532632,1,2245624.667,326,1,1,8.47,53,11633
2016,1,0,3,5,52,4,412,1,1,1,1,3,679,5,5,9.45,49,10135
2000,9,0,3,1,1,550,412,1,139,1,1,141,205490,0,0,0,0,205528
1900,2,19,1,6,1,3,204,1,1,1,1,3,528,0,0,0,0,3449
1900,9,12,1,4,1,2,204,1,1,1,1,3,4883,0,0,0,0,6538
2014,8,0,2,5,1,94,412,282862,1,96207.2,1,96209.2,10295483,0,0,0,0,10296101
2000,10,15,1,1,1,292,86,158502.6667,723448.6364,1105815.778,704207.3333,2533471.748,1214836,0,0,0,0,1214839
2015,4,12,3,5,27,2,204,1328.5,112551.875,1176.5,1104,114832.375,1071,8,9,9,26,8611
2000,10,15,1,0,1,1,85,1,1,1,1,3,9437,0,0,0,0,9448
2015,10,12,3,4,27,19,412,8579,1,1,1,3,0,0,0,8.5,24,3579
2015,10,12,3,6,26,19,412,1,1,1,1,3,0,0,0,10,26,8569
2015,6,15,1,5,476,897,769,386184,1765375.182,1763913.4,167792.2,3697080.782,2758,11,11,8.78,228,354340
2014,8,15,1,5,1,61,204,1984.833333,2196674.692,243886.2,2532413.2,4972974.092,62784,0,0,0,0,63390
2016,5,15,1,5,483,22,59,2237990,753722.8667,980960.6,1457785.667,3192469.134,15115,101,102,8.99,466,439175
2015,7,0,1,4,115,143,412,1,96321.63158,13421,42736.5,152479.1316,1267,5,5,9.18,139,50988
2014,8,12,1,4,1,16,412,3039,17287,1,1,17289,23721,0,0,0,0,23802
2016,2,0,3,7,58,51,1672,1,1,1,1,3,609,3,3,9.47,157,7032
2014,11,12,3,6,15,7,198,1,1,1,1,3,234,2,2,9.17,54,4718
2000,8,0,1,2,1,18,85,1,1,1,1,3,12485,0,0,0,0,12486
2016,6,0,3,4,31,40,204,1,1,1,1,3,1156,80,80,9,23,3306
2000,10,15,1,0,6,550,204,1,934710.4,1540270.5,10817.5,2485798.4,2945151,0,0,0,0,2945151
2016,5,15,1,5,1125,866,769,3653304,2962655.545,3849274.111,1880.5,6813810.156,176514,913,2172,8.81,820,5459747
2014,8,0,1,6,39,22,85,58119,29668,44650,1,74319,1663,17,22,6.33,48,10868
2000,9,12,1,0,1,897,198,1,1237812,327955,1,1565768,8223266,0,0,0,0,8223342
2000,7,15,1,0,1,550,3391,1412995,3593332.818,5055591,1184384.6,9833308.418,9135540,0,0,0,0,9135802
2000,3,15,1,0,1,1157,3391,1058816,3334822,1654903.214,281980.5,5271705.714,12323408,0,0,0,0,12323555
2015,11,12,3,4,326,168,412,189103,1904.8,39039.42857,32762.375,73706.60357,2681,23,23,9.63,131,190037
2016,1,12,2,5,447,797,871,1211718.5,2306471,1,107567,2414039,11669,74,74,8.65,773,303548
2000,10,12,1,0,8,1157,204,1,1,1,1,3,227304,0,0,0,0,227304
2014,12,12,1,5,931,1157,204,6929997.5,1724116.4,2131535,3006632.333,6862283.733,33048,222,236,8.76,1237,6568122
2014,8,15,1,7,654,550,3391,2719818.5,2097275.048,3247687.333,1,5344963.381,3956537,0,0,0,0,4770056
2016,1,0,2,5,585,552,412,1,1,1,1,3,1270,5,5,9.09,191,1195464
2014,11,0,3,0,1,61,198,1,1,1,1,3,31334,0,0,0,0,31334
2016,6,15,1,0,660,550,198,1376.333333,3298988.6,1373017,1453521.25,6125526.85,31562,153,153,9.39,1308,256055
1900,5,0,3,0,1,0,204,1,1,1,1,3,6397,0,0,0,0,6409
2000,9,0,3,0,1,0,412,1,1,1,1,3,7063,0,0,0,0,7213
2016,2,15,1,5,513,79,204,33238.5,1067.5,1,1,1069.5,11054,46,47,9.68,1492,2910333
2000,8,12,1,1,2,1157,86,543313,1,1,1,3,4183,0,0,0,0,4463
2014,11,0,1,6,46,24,85,1,1,1468663.2,158943,1627607.2,842,4,4,10,8,13884
2014,8,0,1,5,10,23,85,1,1,1,1,3,4822,10,10,0,0,10827
2000,8,15,3,6,1,292,86,1,1,14875,1,14877,35035,0,0,0,0,36504
2014,10,12,3,0,1,213,412,1,66067,11795.5,6447,84309.5,39349,0,0,0,0,39423
2016,1,15,1,5,592,550,86,165,2005425.8,1403478,2826561.364,6235465.164,7519,33,33,8.32,285,638444
2014,8,19,2,7,19,797,204,177,53928.5,1333842.7,503858.4,1891629.6,342690,0,0,0,0,348822
2000,12,19,3,5,1,130,86,1,1,1,1,3,1029,0,0,0,0,5916
2015,10,15,1,4,510,168,353,1,696418.8,2556775.68,562517.5,3815711.98,6343,38,39,9.3,253,1006949
2014,8,15,1,1,1,23,204,1,1,1,1,3,3048,0,0,0,0,3048
2015,3,0,1,5,28,18,85,34741,1,1,1,3,996,6,6,9.55,20,3202
2000,8,15,3,6,1,1,86,1,1,1,275,277,21385,0,0,0,0,22058
2000,8,12,2,0,1,678,417,140,271061.3333,172582.7273,1,443645.0606,3227447,0,0,0,0,3227647
2014,8,19,2,9,1,866,769,25782,952923.8571,1358380,701651.2222,3012955.079,772880,0,0,0,0,773843
2000,10,0,3,5,1,4,204,26063,93080,2113,2317,97510,123858,0,0,0,0,124222
2014,8,12,3,1,2,550,204,40199,594412.4444,1936.5,11923,608271.9444,236642,0,0,0,0,237219
2015,2,19,2,5,512,797,204,12104,10,182856,1,182867,39769,439,1207,8.26,334,360878
2014,8,19,3,7,4,70,204,1111,1,1,1,3,41430,0,0,0,0,42366
2000,3,0,1,8,1,8,85,891,1,1,1,3,4859,0,0,0,0,4997
2000,10,19,3,5,1,6,204,88447,1,1,1,3,68525,0,0,0,0,68672
2015,6,15,1,5,722,550,204,1559798.2,3960727.357,2071495.913,3219536.111,9251759.381,6663,34,37,8.72,237,2561875
2016,1,0,1,5,176,4,412,1,1,1,1,3,2039,10,10,9.7,292,119070
2000,2,0,3,1,1,292,412,1,94615.33333,11116,1,105732.3333,30123,0,0,0,0,30195
2000,9,0,3,4,1,897,412,227043,221105.2,165640,1,386746.2,122172,0,0,0,0,122362
2014,8,0,1,6,87,292,412,1,1,1,1,3,2216,28,29,0,0,20680
2016,2,0,3,5,214,1157,412,1,1,325149,26302,351452,774,4,4,9.49,317,138290
2016,5,0,1,6,341,1157,412,1,1,34030.83333,1,34032.83333,1079,6,6,9.25,32,266239
2015,7,0,3,4,411,1157,412,1,1,1,1,3,433,2,2,9.65,175,517579
2016,4,0,3,8,136,213,871,1,1,1,1,3,151,1,1,6.54,26,5510
2016,6,0,3,5,158,548,412,1,104240.76,1,343254.1667,447495.9267,910,4,4,9.66,462,31098
2015,11,0,3,5,197,13,871,1,1,1,1,3,1514,10,12,9.64,179,92571
2014,8,0,3,5,117,8,412,1,1,1,1,3,757,4,4,8.04,140,73099
2015,1,0,3,4,300,897,412,312413.875,1,1,1,3,1002,5,5,9.43,279,230697
2016,4,0,1,5,248,51,412,1,1,1,1,3,3153,15,15,9.63,187,43564
2015,12,19,1,5,386,168,86,210525,456668.5,482954.0556,2137532.364,3077154.92,1362,7,7,8.62,96,319827
2016,3,15,1,5,424,41,204,8,225580,235684,2137532.364,2598796.364,8186,46,49,9.46,938,182146
2015,2,19,3,5,203,130,353,503970,1306,5450.75,5348.5,12105.25,716,5,5,8.07,285,182419
2015,5,19,3,5,255,130,417,345640,32654.33333,1,51488.25,84143.58333,1766,9,9,7.81,79,63491
2014,12,15,1,5,641,897,919,1646142,2971475,1936677,1763334.389,6671486.389,63883,546,1409,8.83,980,2409382
1900,11,15,2,3,1,678,86,1,1,1,1,3,5958,0,0,0,0,8624
2000,10,0,3,2,1,70,85,1,1,1,1,3,26048,0,0,0,0,26083
2015,9,0,1,5,70,897,85,9438,1,1,1,3,2645,30,30,9.88,34,7486
1900,4,12,1,2,1,2,204,1,1,1,1,3,3426,0,0,0,0,3701
2000,1,0,1,0,1,14,85,21712,1,1,1,3,53507,0,0,0,0,53523
2000,11,19,1,0,1,2,353,1,2554960,1406408.5,1,3961369.5,161719,0,0,0,0,161722
2000,10,12,1,0,1,1157,86,1,2295503.75,833,1181332,3477668.75,1122211,0,0,0,0,1122225
1900,3,19,1,3,1,0,204,1,1,1,1,3,645,0,0,0,0,4227
2000,12,15,3,2,1,27,204,1,1,1,1,3,3628,0,0,0,0,3695
2000,10,15,3,2,1,41,204,2028,2028,2641.5,6270.75,10940.25,22101,0,0,0,0,22128
2000,8,0,3,1,1,0,59,185,1,1,14289,14291,196685,0,0,0,0,196707
2014,8,0,3,6,133,93,198,98446,1,51470,10479.75,61950.75,3717,94,154,9.04,57,31327
2015,6,0,3,5,97,56,313,3485,1,1,1,3,533,6,12,8,14,15281
2014,12,0,2,6,90,51,412,1,74250,1,10,74261,1217,6,6,9.06,53,33035
2016,6,0,3,4,80,40,412,1,1,1,1,3,180,1,1,7.75,8,7583
2014,10,0,3,5,127,51,412,1,53959,1,1,53961,700,4,4,9.54,8,25080
2015,11,0,1,5,46,121,412,1,1,1,1,3,0,0,0,7,3,6582
2014,11,15,3,6,227,54,1672,1,194932.5,691013.2,39418.875,925364.575,4836,45,46,9.51,144,107135
2015,2,15,1,8,35,5,204,1266.333333,1,1,1,3,1011,10,10,9.08,12,3976
2014,8,15,1,3,1,550,871,499612,805656.4286,1346741.6,2036807.4,4189205.429,3449699,0,0,0,0,3450305
2000,2,12,3,1,1,292,412,11116,1,1,1,3,7273,0,0,0,0,7345
2000,4,0,3,3,34,40,412,1,1,1,1,3,14665,0,0,0,0,17505
2015,12,19,2,5,151,797,198,14,1,2451159.25,1,2451161.25,10572,44,45,8.69,360,33310
2016,1,15,1,5,503,1157,86,2,2129446.667,1605227.5,1621029.786,5355703.953,7350,44,45,8.41,246,423991
2014,10,19,2,5,549,866,353,716533.75,179445.7778,422708.25,792577.5,1394731.528,5137,31,31,9.09,117,1503083
1900,11,12,2,4,1,1,204,1,1,1,1,3,6354,0,0,0,0,8161
2015,12,12,1,5,19,1,85,10,1,1,1,3,738,7,7,4.01,1879,10927
2015,3,15,3,4,57,112,919,1,1,1,1,3,172,5,13,8.64,11,4936
2015,4,15,3,5,32,19,86,4847,1,1,1,3,443,3,3,9.18,22,5675
2014,8,19,2,2,1,797,198,1,212424,546454.5,4751.5,763630,42164,0,0,0,0,42335
2016,2,15,1,9,129,32,198,1,3304252.5,7562.5,1035515.333,4347330.333,175,1,1,6.97,547,14932
2000,4,19,1,0,1,1157,86,966,1,3139237.5,142567,3281805.5,1831737,0,0,0,0,1831741
2016,3,15,2,5,322,198,198,216138,30288,16302,1,46591,1940,7,7,9.49,135,38298
2014,10,15,1,5,637,897,204,650180,2789681.267,2335295.615,1871795.1,6996771.982,29256,528,1096,8.46,980,381653
2014,10,15,1,5,577,225,86,1,4332675,213824.6667,1634192,6180691.667,12831,209,212,9.17,285,1671324
2015,1,19,3,5,32,27,198,6615.75,1,1,1,3,1014,10,12,8.33,46,8657
2016,5,15,3,5,134,30,86,1,1,1,1,3,4659,117,187,9.24,374,283091
2015,12,0,1,6,16,12,85,1,1,1,1,3,1249,7,7,0,0,3756
2015,8,12,3,5,30,6,204,7720,4155,15878.6,7730,27763.6,32,1,1,8.79,39,8339
2015,6,19,1,5,384,866,919,929773.25,1464657.067,957098.5,834300.2308,3256055.798,3776,27,27,9.04,320,133342
2014,9,15,3,5,17,3,198,862.5,1,1,1,3,126,1,1,9.54,28,5777
2015,2,19,2,5,225,99,919,1,528216.8571,2349753.5,1,2877971.357,3826,28,28,8.37,338,55301
2015,7,19,3,4,35,41,198,1,2646.5,1519,1,4166.5,1123,4,4,9.18,11,15765
2016,4,19,1,6,424,292,769,222028.3333,1488275.222,1009524.5,2912634.7,5410434.422,4541,16,18,8.17,117,955038
2016,2,19,1,6,423,550,86,155315.3333,1063090.857,2479327.5,657184.5,4199602.857,7640,29,29,8.49,261,200635
1900,4,19,3,0,1,0,204,21,1,1,1,3,3184,0,0,0,0,3651
2000,10,0,3,4,1,2,198,1,1,1,1,3,3670,0,0,0,0,3709
1900,11,15,2,1,1,866,86,1,1,1,1,3,4681,0,0,0,0,8325
2000,5,12,3,1,1,1157,86,1,1,1,1,3,12075,0,0,0,0,12110
2000,10,12,1,0,1,1157,86,1,1,1,1,3,1885827,0,0,0,0,1885908
2015,1,15,1,4,430,143,204,1,2337425.667,813450.6667,780439,3931315.334,3969,20,21,9.16,421,383464
2014,8,19,1,4,175,15,86,98284,1647492.25,1769873.667,171.6666667,3417537.584,1618,6,6,8.97,112,46475
1900,9,19,1,1,1,1,204,1,1,1,1,3,2363,0,0,0,0,5724
2014,10,19,3,5,190,70,769,1,558693.1,338986.6842,132839.1429,1030518.927,2546,19,19,8.19,36,49831
2015,11,19,1,5,907,550,919,1161602.5,2897818.182,1642892.833,1597277.333,6137988.348,113784,818,1814,7.76,1318,4650991
2015,12,19,1,6,595,550,919,3131754,10243128.5,3046133.462,3704399.625,16993661.59,1082,4,7,0,0,1793576
2015,1,12,3,6,39,54,204,11636.25,652272.0909,4431,1,656704.0909,2999,29,29,9.2,25,30202
2000,2,15,3,7,1,5,86,1,1,1,1,3,2252,0,0,0,0,39300
2000,5,19,1,1,1,1157,86,1,1,1,1,3,2701270,0,0,0,0,2701293
2016,3,0,3,5,47,40,204,1,1,1,1,3,1061,10,11,9.62,40,4771
2000,10,0,3,1,1,70,204,8175,1,1,1,3,8001,0,0,0,0,8053
2016,3,19,1,5,463,548,353,1,2795051,1722708.955,2008430.222,6526190.177,3662,14,16,9.37,742,614272
2014,8,0,1,1,1,11,412,16490,21475.5,1058302.167,1081860.478,2161638.145,478931,0,0,0,0,479186
2015,6,12,3,5,49,7,204,1,357386.5,111494.6667,799887.5,1268768.667,1277,8,8,9.63,54,12379
2000,10,0,2,0,1,0,85,1,1,1,1,3,3110,0,0,0,0,3110
2000,3,0,1,2,1,8,85,9045,1,1,1,3,4355,0,0,0,0,4477
2014,10,15,2,5,360,897,871,300804.5,292526.5,543152.1429,1,835679.6429,2345,10,10,8.75,87,248030
2015,4,0,3,6,217,225,412,768658,12876,1,27069.5,39946.5,5918,32,32,9.55,246,212326
2015,2,0,3,8,55,93,198,1,1,1,1,3,1131,5,5,9.64,216,4144
2014,10,15,2,3,1,130,204,13264.5,1800530,429021.1,869286.375,3098837.475,498004,0,0,0,0,498954
2000,11,19,2,10,1,1157,353,58199,1,5512,12709000,12714513,65522,0,0,0,0,66405
2015,10,19,2,4,68,121,353,40,1,1,1,3,151,1,1,5.76,306,4024
1900,4,15,3,8,1,41,204,1,1,1,1,3,8800,0,0,0,0,9081
2014,8,15,1,7,11,70,85,891,1,1,1,3,5264,0,0,0,0,6254
1900,8,12,2,6,1,2,204,1,1,1,1,3,7158,0,0,0,0,10498
2014,11,0,1,5,42,168,85,38993,2385456.4,1,12583,2398040.4,2478,18,19,9.8,35,13520
2000,9,19,1,5,1,4,204,42637.33333,620068,859569.1538,1,1479638.154,35519,0,0,0,0,35697
2000,12,0,3,2,1,548,412,1,1940647.444,480,1068004,3009131.444,276957,0,0,0,0,277260
2014,12,0,3,5,292,225,412,1,1,1,1,3,2594,15,17,8.16,114,602643
2000,5,15,1,3,1,1157,86,1188.5,994208,1485211.571,1621681.462,4101101.033,6654842,0,0,0,0,6655061
2000,11,0,3,3,1,4,412,113865.5,15762.28571,1331,1,17094.28571,338691,0,0,0,0,339570
2015,11,0,1,5,15,23,204,1,1,1,1,3,520,2,2,9.4,15,3267
2014,8,12,2,8,468,1157,871,764983.3333,4932070.667,410431.3333,1,5342503,6242,42,52,8.07,313,398247
2016,6,12,2,4,501,897,871,19356,4932070.667,1,121788.5,5053860.167,2202,10,10,9.16,454,234539
2014,8,0,3,0,2,16,412,1,1,1,1,3,11396,0,0,0,0,11738
2014,11,0,1,6,186,168,85,1,1,1,1,3,6198,67,68,9.8,192,776360
2014,8,19,3,6,3,168,204,7178.2,14803,1579680.667,1,1594484.667,59771,0,0,0,0,60174
2014,8,19,3,7,2,168,204,16033.66667,21304.14286,1579680.667,60311,1661295.81,23632,0,0,0,0,24221
2000,3,19,1,3,1,4,204,44088.25,6505.5,689475.1667,584267.8571,1280248.524,30918,0,0,0,0,31030
2014,11,15,1,4,38,7,59,13298.33333,1,1,1,3,1273,5,6,9.21,91,3787
2015,4,0,1,6,191,1157,412,1,981294,612568,143256,1737118,1127,5,5,9.42,96,259802
2016,5,0,1,6,231,198,412,1,1433152.2,418824.6667,1,1851977.867,938,3,4,8.96,83,81746
2016,5,0,3,6,216,213,85,599963,1,1,1,3,488,3,3,7.96,27,107750
2014,5,15,2,1,1,897,417,1024428.5,1,285952.5714,200038,485991.5714,424041,0,0,0,0,424086
2016,5,12,2,5,369,31,871,398718.25,367725.75,228163,340048.5714,935937.3214,6329,332,788,8.79,154,101871
2014,10,15,1,5,20,8,85,1,1,5150,1,5152,1818,7,7,3.08,2453,28907
2014,7,15,3,1,1,178,204,556157,111509.7,1,60801,172311.7,58666,0,0,0,0,59243
2000,1,15,2,0,1,678,871,3457587.333,1214202.125,671641.875,491213.8,2377057.8,6396615,0,0,0,0,6396615
2015,7,19,2,4,246,99,204,12510,1049134.5,1499472,99149.125,2647755.625,746,3,3,9.23,82,66075
1900,12,12,2,5,1,1,204,1,1,1,1,3,10379,0,0,0,0,15641
2014,8,19,2,4,1,93,204,3133,117292.5,125080,8639,251011.5,70529,0,0,0,0,70801
2000,8,19,1,2,1,1157,871,1,1,1,1,3,1112855,0,0,0,0,1112950
2000,10,0,1,2,1,0,85,121,1,1,1,3,19761,0,0,0,0,19975
2000,9,15,3,4,1,2,204,370,1,1,1,3,5306,0,0,0,0,5577
2016,1,15,3,8,29,27,204,1,1,1,1,3,1051,7,7,8.3,27,6881
2015,9,15,2,5,294,93,204,1,415692.6667,56088,82770,554550.6667,4160,58,58,9.57,77,54340
2016,2,19,2,5,201,797,204,3364426.5,77765.75,32217.57143,39719.2,149702.5214,2120,19,19,9.48,110,109908
2016,3,12,1,5,465,29,198,1599994,3860216.6,1675427.478,2663992.667,8199636.745,4057,16,18,9.01,187,168168
2015,12,12,1,5,892,548,3391,2363219.5,4127614.375,2678888.087,1740843.455,8547345.917,19064,89,92,8.29,556,1650636
2015,4,19,3,6,333,897,871,983674.3333,126553,381414.7143,1666937.75,2174905.464,3312,17,17,9.01,72,107317
2014,8,12,2,4,225,25,417,2869938,192784.5,1,412428.125,605213.625,1111,7,7,9.44,257,106919
2015,11,15,3,4,110,292,769,1,1,1,1,3,1135,7,8,8.07,148,8864
2014,11,19,2,4,20,112,78,1,1,1,1,3,0,0,0,6.85,86,3656
2015,7,19,3,5,17,3,204,62,1,1,1,3,426,3,3,9.75,8,5460
2015,4,19,3,6,38,121,86,51,1,1,1,3,836,4,4,8.09,76,6797
2015,2,12,3,5,88,112,412,1,1,1,1,3,0,0,0,9.61,305,51128
2015,10,19,3,5,56,56,313,1375,223430.1333,204796.1111,120453.8,548680.0444,999,7,7,9.4,65,37557
2000,10,15,3,1,1,1157,204,85395.5,224607.6667,5396,1,230004.6667,16073,0,0,0,0,16089
2015,10,19,2,6,114,30,353,1,1,1,1,3,154,1,1,7.87,118,5440
2000,4,19,2,1,1,0,204,1,152828,306205,1,459034,450650,0,0,0,0,450726
2015,7,15,2,4,72,93,871,1,1,1,1,3,166,1,1,8.03,265,8153
2015,9,0,3,8,133,23,412,1,1,1,1,3,1165,6,6,9.59,130,84054
2000,8,12,3,3,1,0,417,1,39522,485381.75,1,524904.75,14117,0,0,0,0,14281
2016,6,15,2,5,174,143,78,54,1,3368,1,3370,1084,5,5,7.8,533,56787
2015,10,15,2,4,275,797,353,686523,1,1,1,3,337,2,2,7.95,76,52197
2015,11,15,2,5,380,198,204,72292,267118.5385,606365.2,307138.7143,1180622.453,3599,20,21,8.95,167,185879
2014,8,12,2,2,1,897,417,1,279488,26470.33333,1,305959.3333,106049,0,0,0,0,106081
2014,10,19,2,3,1,0,919,323174.8,1022893,65232.22222,315791.25,1403916.472,585082,0,0,0,0,585835
2015,11,15,2,5,58,121,313,1,1,1,1,3,1123,4,4,9.4,20,3872
2015,1,19,2,4,251,797,871,230816,299395.2222,101487.7143,717548.6667,1118431.603,8393,56,83,8.22,516,82683
2015,8,19,3,2,44,56,78,1,1,1,1,3,537,4,4,6.29,122,3368
2000,1,0,3,0,1,797,204,1,1,1,1,3,108486,0,0,0,0,108570
2000,10,19,2,0,1,1,86,1,578532.25,105074.3333,1,683607.5833,73210,0,0,0,0,73211
2014,12,12,1,5,185,213,204,728561.5,488349.375,528768.8571,11039.2,1028157.432,11245,66,66,8.66,131,48631
2014,8,19,2,7,204,797,78,137340,11711.5,1,310779,322491.5,6909,30,30,6.95,124,59569
2015,10,15,1,5,705,548,353,1,2341781.429,1635959,1481071.871,5458812.3,18634,87,88,9.25,525,1536517
2000,10,12,3,1,1,0,204,962054.5,1,1,1,3,28047,0,0,0,0,28123
2000,11,15,3,1,1,41,204,1,11659.5,1,1,11661.5,35592,0,0,0,0,35712
2014,9,15,3,7,42,41,769,1,1,1,1,3,689,5,5,7.88,68,7559
2014,12,15,1,6,327,897,198,1,338168,1462026.909,440372,2240566.909,5647,27,32,8.47,248,210118
2014,11,15,2,6,341,225,198,1,556099,5,150,556254,12013,235,471,9.26,223,189816
2016,2,19,2,5,915,866,871,1,454531.75,1,80652.5,535185.25,186265,1085,3076,0,0,2990019
2015,6,15,2,4,136,79,78,1932,1024706.25,27768,1,1052475.25,259,2,2,6.78,329,40643
2000,8,12,2,1,1,0,871,528511.3333,295895,1,1,295897,778323,0,0,0,0,778364
2000,4,19,1,0,1,1157,204,901055,270528.5385,561529,1,832058.5385,4662829,0,0,0,0,4662914
2000,12,15,1,1,1,550,871,5875594.5,3646482.75,1566349.333,1278015.5,6490847.583,12983341,0,0,0,0,12983841
2015,2,0,3,8,323,548,412,1,199437.1429,152058,1,351496.1429,4837,38,41,9.4,202,444644
2015,11,12,1,4,544,1157,3391,326462,3247878.045,4112233,1357756.083,8717867.128,6760,33,33,7.82,986,315191
2014,8,19,1,4,1,168,204,1,3313935,1473092.167,1597563.8,6384590.967,106511,0,0,0,0,106658
2016,4,12,2,6,503,866,204,14210,2106128.333,1349440.438,1,3455569.771,15058,136,140,9.35,327,221521
2015,10,12,1,5,365,15,204,321.5,691978.875,253056,1647961.833,2592996.708,4742,23,26,8.96,536,98154
2014,8,0,3,7,45,30,59,1,1,1,1,3,2641,0,0,0,0,25947
2016,5,15,3,5,93,213,412,1,6026,1,1,6028,0,0,0,9.67,30,27002
2000,3,15,3,4,1,0,871,1,1,1,1,3,4893,0,0,0,0,4961
2016,2,12,1,5,374,292,204,2365666.286,1379590.833,927019.0769,4346676,6653285.91,5398,24,24,9.26,241,828974
2000,3,0,3,7,57,121,412,1,1,1,1,3,68569,0,0,0,0,73743
2015,9,15,1,5,91,168,86,1708979,1,1,1,3,713,5,5,9.22,227,6985
2000,9,19,1,4,1,5,412,1,153176.4444,8436.5,121548.5,283161.4444,19780,0,0,0,0,19798
